Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,A developer made three local commits but GitHub does not show them yet. What is the most likely missing action?,Open GitHub Mobile,Push the commits to the remote repository,Star the repository,Create a milestone for the commits,B,Pushing sends local commits to a remote repository such as GitHub.
Understand Git and GitHub basics,Version control fundamentals,A team wants to investigate exactly when a bug was introduced. Which Git concept is most helpful?,Commit history,Repository topics,Saved replies,GitHub Sponsors,A,Commit history lets teams inspect changes over time and identify when problems were introduced.
Understand Git and GitHub basics,Version control fundamentals,"A contributor clones a repository, creates a branch, commits changes, and opens a pull request. Which workflow does this best describe?",Repository traffic flow,GitHub Sponsors flow,Passkey registration flow,GitHub Flow,D,"GitHub Flow commonly uses branches, commits, pull requests, reviews, and merges."
Understand Git and GitHub basics,Version control fundamentals,Two developers edit the same lines in the same file on different branches. What may happen when merging?,GitHub automatically deletes both branches,All issues are closed,A merge conflict may require manual resolution,The repository becomes public,C,Overlapping incompatible changes may create a merge conflict that needs human resolution.
Understand Git and GitHub basics,Version control fundamentals,Which statement about Git and GitHub is most accurate?,GitHub is required for every Git commit,"Git can be used without GitHub, but GitHub uses Git repositories",Git is only a GitHub web feature,Git and GitHub are the same product,B,Git is a version control system; GitHub is a hosting and collaboration platform.
Understand Git and GitHub basics,Version control fundamentals,A developer wants to test a risky refactor while preserving the current stable code. What is the best approach?,Create a separate branch for the refactor,Delete the repository history first,Commit directly to protected main without review,Archive the repository before editing,A,Branches isolate work so risky changes do not immediately affect the stable branch.
Understand Git and GitHub basics,Version control fundamentals,Why is a distributed version control system valuable when network access is unreliable?,All commits must be approved by GitHub before saving,Developers cannot view history offline,Branches are disabled offline,Developers can continue committing locally and sync later,D,Git allows local commits and history access even before syncing with a remote.
Understand Git and GitHub basics,Working with GitHub,A team wants all feature work reviewed before entering main. Which GitHub collaboration object should they use?,Profile README,Gist,Pull request,Repository star,C,"Pull requests provide discussion, review, checks, and merge control."
Understand Git and GitHub basics,Working with GitHub,A non-technical stakeholder needs a readable project overview on GitHub. Which file is most appropriate?,CODEOWNERS,README.md,workflow.yml,dependabot.yml,B,"The README is the usual entry point for explaining project purpose, setup, and usage."
Understand Git and GitHub basics,Working with GitHub,A user wants to make quick text changes in a repository from a browser without starting a cloud VM. Which tool is best?,github.dev,Codespaces,GitHub Sponsors,Enterprise Managed Users,A,"github.dev is a lightweight browser editor, while Codespaces provides a full dev environment."
Understand Git and GitHub basics,Working with GitHub,"A new team needs shared repositories, member management, and team permissions. Which GitHub account structure fits best?",Single shared personal account,GitHub Mobile profile,Anonymous gist,Organization,D,"Organizations manage shared repositories, members, teams, and permissions."
Understand Git and GitHub basics,Working with GitHub,"A company requires enterprise-wide governance, policy, and advanced security controls. Which option is most suitable?",A public gist,A single personal account,GitHub Enterprise,GitHub Desktop only,C,"GitHub Enterprise supports large-scale governance, policy, and administrative controls."
Work with GitHub repositories,Repository management,A repository has many reviewers and different teams own different folders. Which file should automate reviewer requests by path?,README,CODEOWNERS,LICENSE,GitHub Pages index,B,CODEOWNERS associates paths with users or teams responsible for review.
Work with GitHub repositories,Repository management,A maintainer wants users to know whether commercial reuse is allowed. Which repository file is essential?,LICENSE,Issue template,CODE_OF_CONDUCT.md,SECURITY.md,A,The license defines legal rights and obligations for using and distributing code.
Work with GitHub repositories,Repository management,A project repeatedly receives incomplete bug reports. What should maintainers add?,A public fork,A GitHub Sponsor tier,Repository stars,Issue templates,D,Issue templates collect consistent information such as steps to reproduce and expected behavior.
Work with GitHub repositories,Repository management,A repository should explain supported versions and private vulnerability reporting. Which file should be used?,CODEOWNERS only,profile README,SECURITY.md,README only,C,SECURITY.md usually defines vulnerability reporting and support policy.
Work with GitHub repositories,Repository management,"A team creates many services with the same folder structure, CI files, and documentation. What reduces setup effort?",Repository star,Template repository,Archived repository,Notification filter,B,Template repositories allow new repositories to start from reusable boilerplate.
