Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,What is the main purpose of version control?,To track changes over time and help teams collaborate safely,To replace all project documentation,To publish websites only,To automatically write code without developers,A,"Version control records changes, supports collaboration, and allows teams to review or restore earlier versions."
Understand Git and GitHub basics,Version control fundamentals,Which statement best describes Git?,A cloud hosting provider only,A distributed version control system,A package manager for JavaScript,A project management board,B,Git is the distributed version control system used to track source code changes.
Understand Git and GitHub basics,Version control fundamentals,Which statement best describes GitHub?,A database engine for source code,An operating system for developers,A platform for hosting Git repositories and collaborating on software,A replacement for every local Git command,C,"GitHub hosts Git repositories and adds collaboration features like pull requests, issues, Actions, and Projects."
Understand Git and GitHub basics,Version control fundamentals,What is a repository?,A temporary browser cache,Only the README file,A single saved password,"A project folder tracked by Git, including files and history",D,A repository contains project files and their version history.
Understand Git and GitHub basics,Version control fundamentals,What is a commit?,A saved snapshot of changes in a repository history,A security vulnerability report,A user account type,A branch deletion request,A,"A commit records a specific set of changes with metadata such as author, date, and message."
Understand Git and GitHub basics,Version control fundamentals,What is a branch used for?,To permanently delete old commits,To develop changes separately from the main line of work,To encrypt a repository,To create billing accounts,B,Branches let users work on features or fixes without directly changing the default branch.
Understand Git and GitHub basics,Working with GitHub,What is GitHub Flow?,A backup process for mobile devices,A required desktop installation process,"A lightweight workflow using branches, commits, pull requests, reviews, and merges",A billing workflow for organizations,C,GitHub Flow is a collaboration model where changes are made on branches and reviewed through pull requests before merging.
Understand Git and GitHub basics,Working with GitHub,Which GitHub account type is generally used by one person?,Organization account,Enterprise account,Bot-only account,Personal account,D,A personal account represents an individual user.
Understand Git and GitHub basics,Working with GitHub,What is a GitHub organization used for?,"Grouping people, repositories, permissions, and collaboration under a shared account",Creating only private gists,Running Git locally without internet,Replacing all issue tracking,A,"Organizations help teams manage repositories, members, roles, and permissions."
Understand Git and GitHub basics,Working with GitHub,What is GitHub Enterprise designed for?,Only mobile app development,"Large organizations that need advanced governance, security, compliance, and administration",Only students learning Git,Only open-source hobby projects,B,"GitHub Enterprise provides organization-scale administration, security, and policy controls."
Understand Git and GitHub basics,Working with GitHub,Where is Markdown commonly used on GitHub?,Only binary image files,Only SSH keys,"README files, issues, pull requests, discussions, and comments",Only billing pages,C,Markdown is used to format text clearly across GitHub collaboration surfaces.
Understand Git and GitHub basics,Working with GitHub,When is GitHub Desktop especially useful?,When users need to create passkeys only,When users want to replace GitHub Actions,When users need to manage enterprise billing,When users want a graphical interface for common Git and GitHub workflows,D,"GitHub Desktop provides a GUI for cloning, committing, branching, and syncing repositories."
Understand Git and GitHub basics,Working with GitHub,What is GitHub Mobile useful for?,"Managing notifications, reviewing issues, and collaborating while away from a computer",Hosting local repositories offline only,Replacing GitHub Enterprise policies,Compiling production binaries only,A,GitHub Mobile helps users stay connected to GitHub activity from a phone or tablet.
