Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,A teammate says they committed code but another teammate cannot see it on GitHub. Which sequence is most likely incomplete?,"Create passkey, then fork repository","Open issue, then archive branch","Star locally, then watch remote","Commit locally, then push to remote",D,Commits made locally must be pushed before others can see them on GitHub.
Understand Git and GitHub basics,Version control fundamentals,A team wants to compare how a file changed between versions. Which Git concept supports this?,Diffs between commits,GitHub Sponsors,Repository followers,Passkey history,A,Git diffs show changes between versions.
Understand Git and GitHub basics,Version control fundamentals,A developer pulls changes before starting work. Why is this useful?,It closes all assigned issues,It reduces the chance of working from outdated code,It makes the repository public,It removes branch protection,B,Pulling updates the local repository with remote changes.
Understand Git and GitHub basics,Version control fundamentals,A feature branch is ready and reviewed. What usually happens next in GitHub Flow?,Create a new organization owner,Archive the repository,Merge the pull request into the default branch,Delete the license,C,"After review and passing checks, PRs are merged into the target branch."
Understand Git and GitHub basics,Working with GitHub,A team wants a shared space with repositories and member permissions separated from personal accounts. What is best?,Single shared login,GitHub Pages domain,Public gist,Organization,D,Organizations are designed for shared team work and permission management.
Understand Git and GitHub basics,Working with GitHub,A regulated company wants stronger compliance and enterprise controls. Which GitHub offering is most relevant?,GitHub Enterprise,A single personal account,A public Gist,GitHub Mobile only,A,GitHub Enterprise provides advanced governance and administration.
Understand Git and GitHub basics,Working with GitHub,A user wants to make repository comments easier to read with lists and links. What should they use?,Branch protection,Markdown,Repository traffic,Enterprise Managed Users,B,"Markdown formats text in issues, PRs, comments, and docs."
Understand Git and GitHub basics,Working with GitHub,A beginner dislikes command line Git. Which official tool may help with common Git workflows?,Repository Insights only,GitHub Sponsors,GitHub Desktop,Enterprise audit log,C,GitHub Desktop provides a GUI for common Git and GitHub tasks.
Work with GitHub repositories,Repository management,A repo has many issues but no standard bug report structure. What should be added first?,Star button,Repository topic only,Passkey policy,Issue template,D,Issue templates standardize incoming reports.
Work with GitHub repositories,Repository management,A repo has no instructions for local setup. Which file usually needs improvement?,README.md,Passkey settings,Repository traffic report,CODEOWNERS only,A,README should explain setup and usage.
Work with GitHub repositories,Repository management,A project wants legal clarity before accepting external contributors. Which file matters most?,Traffic graph,LICENSE,Profile README,Gist,B,The license defines usage and distribution rights.
Work with GitHub repositories,Repository management,A team needs to require docs team review when /docs changes. Which mechanism is best?,GitHub Sponsor profile,GitHub Mobile notification,CODEOWNERS path rule,Repository star,C,CODEOWNERS can map directories to reviewers.
Work with GitHub repositories,Repository management,A repository receives security reports as public issues. Which file could redirect reporters to a safer process?,Project layout,Milestone,README badge only,SECURITY.md,D,SECURITY.md documents vulnerability reporting processes.
Work with GitHub repositories,Repository management,A maintainer wants to know if people are cloning the repo after a tutorial. Where should they look?,Repository Insights traffic,Passkeys,Saved replies,GitHub Sponsors,A,Traffic insights show views and clones.
Work with GitHub repositories,Repository management,A team wants new repos to include standard Actions workflows and CODEOWNERS automatically. What should it use?,Wiki page,Template repository,Repository star,GitHub Mobile,B,Templates can include standard files and folders.
Work with GitHub repositories,Repository management,Why are repository topics useful for public projects?,They replace branch protection,They create passkeys,They help users discover projects by subject or technology,They enforce two-factor authentication,C,Topics improve discoverability.
Collaborate using GitHub,Collaboration tools,A maintainer wants to automatically close an issue when its fixing PR merges. Which text should be placed in the PR body?,Sponsors #issue-number,Watches #issue-number,Stars #issue-number,Closes #issue-number,D,Closing keywords can close linked issues after merge.
Collaborate using GitHub,Collaboration tools,A discussion is not tied to a specific bug or task. Where should it go?,GitHub Discussions,Required status checks,CODEOWNERS,Dependency graph,A,Discussions support open-ended conversations.
Collaborate using GitHub,Collaboration tools,A team lead wants to see only open PRs requesting their review. What helps?,Repository license,GitHub filters and search qualifiers,GitHub Pages,Passkey settings,B,Filters and search qualifiers narrow PR and issue lists.
Collaborate using GitHub,Collaboration tools,A PR author receives requested changes. What is the appropriate response?,Delete the repository,Open a Sponsor profile,Update the branch and respond to review feedback,Make the repository public,C,Requested changes should be addressed before approval.
Collaborate using GitHub,Collaboration tools,A bug fix needs a clear owner. Which field communicates that?,Repository topic,Star count,License,Assignee,D,Assignees indicate responsibility.
Collaborate using GitHub,Collaboration tools,"A team uses 'bug', 'priority: high', and 'documentation' metadata. What are these?",Labels,Passkeys,Forks,Gists,A,Labels categorize issues and PRs.
Collaborate using GitHub,Collaboration tools,A support repo needs repeated standardized answers. Which feature should maintainers use?,Enterprise Managed Users,Saved replies,GitHub Pages only,Repository forks,B,Saved replies speed up common responses.
Collaborate using GitHub,Collaboration tools,A contributor wants to share a tiny reproducible example. What lightweight GitHub feature works well?,Milestone,Branch protection,Gist,Organization role,C,Gists are lightweight snippet-sharing tools.
Apply modern development practices,Automation and AI tools,A workflow should run tests on every pull request. Which event is commonly used?,passkey_created,profile_view,repository_star_only,pull_request,D,pull_request is commonly used for PR validation workflows.
Apply modern development practices,Automation and AI tools,"A workflow has steps for checkout, install, test, and build. What are these steps part of?",A job,A repository topic,A Gist comment,A passkey,A,Jobs contain ordered steps in GitHub Actions.
Apply modern development practices,Automation and AI tools,A team needs a repeatable local-like environment in the cloud. Which combination is best?,GitHub Sponsors and followers,Codespaces and dev containers,Gists and stars,Passkeys and profile README,B,Codespaces plus dev containers standardize cloud development.
Apply modern development practices,Automation and AI tools,A developer asks Copilot to generate tests. What is still required?,No review because AI output is final,Repository visibility change,Human review and test execution,Automatic license replacement,C,Generated tests still need validation.
Apply modern development practices,Automation and AI tools,A company wants to decide which employees can use Copilot. Where is this best controlled?,Repository star settings,Gist visibility,GitHub Pages domain,Organization or enterprise Copilot policies,D,Copilot policies govern organizational use.
Apply modern development practices,Automation and AI tools,A small documentation change is easier in browser editor than in a full VM. Which tool fits?,github.dev,Actions runner,Codespaces only,Enterprise Managed Users,A,github.dev is lightweight for browser editing.
Apply modern development practices,Automation and AI tools,A workflow should deploy only after main branch tests pass. What is this an example of?,Repository starring,Automated deployment gated by CI,Fork synchronization only,Markdown rendering,B,CI checks can gate deployment workflows.
Apply modern development practices,Automation and AI tools,A team wants to reduce repeated manual release tasks. Which GitHub feature helps most?,Profile README,Repository followers,GitHub Actions,GitHub Sponsors,C,"Actions can automate build, test, release, and deployment tasks."
Manage projects with GitHub,Project Tracking and organization,"A project board has Todo, Doing, Review, Done columns. What layout is this?",Wiki,Table only,Gist,Board,D,Board views organize work by columns.
Manage projects with GitHub,Project Tracking and organization,"A product manager wants to sort by size, priority, and status in rows. What layout is best?",Table,Gist,Passkey list,GitHub Pages,A,Table layout supports structured sorting and filtering.
Manage projects with GitHub,Project Tracking and organization,An item is not yet a repository issue but should be tracked in planning. What should be used?,License file,Draft issue,Passkey,Repository star,B,Draft issues capture planned work inside Projects.
Manage projects with GitHub,Project Tracking and organization,A release uses milestone v1.2. Why attach issues and PRs to it?,To create passkeys,To make them public,To track progress toward that release,To disable review,C,Milestones group work toward a target.
Manage projects with GitHub,Project Tracking and organization,A project needs automatic status updates when PRs close. What should be configured?,Repository license,GitHub Sponsors,Profile README,Project workflows,D,Project workflows automate project field changes.
Manage projects with GitHub,Project Tracking and organization,Which feature helps evaluate completion trends over time?,Project insights,Passkeys,Gists,Repository license,A,Project insights provide progress and productivity information.
Manage projects with GitHub,Project Tracking and organization,A maintainer wants to avoid typing the same triage comment repeatedly. What should they use?,Repository stars,Saved replies,GitHub Pages,Enterprise Managed Users,B,Saved replies provide reusable comments.
Manage projects with GitHub,Project Tracking and organization,A task needs a named responsible person. Which GitHub metadata helps?,Visibility,License,Assignee,Topic,C,Assignees show responsibility.
"Understand privacy, security, and administration",Security and access management,A public repository accidentally receives a secret in a commit. What is the safest first step?,Create a milestone,Add more stars,Change the README title,Revoke or rotate the secret immediately,D,Leaked secrets should be revoked or rotated quickly.
"Understand privacy, security, and administration",Security and access management,A repo must block direct pushes to main. What should be used?,Branch protection rules,Repository topics,GitHub Sponsors,Gists,A,Branch protection can restrict direct updates to protected branches.
"Understand privacy, security, and administration",Security and access management,"A person should only comment and triage issues, not change settings. What concept applies?",Public repository discovery,Role-based access and least privilege,Markdown formatting,GitHub Flow only,B,Permissions should match responsibilities.
"Understand privacy, security, and administration",Security and access management,A company wants passwordless sign-in resistant to phishing. Which method fits?,GitHub Pages,Repository stars,Passkeys,Saved replies,C,Passkeys are phishing-resistant authentication credentials.
"Understand privacy, security, and administration",Security and access management,A repository should be hidden from the public but accessible to a project team. Which visibility fits?,Trending,Public,Sponsored,Private,D,Private visibility limits access.
"Understand privacy, security, and administration",Security and access management,A company wants to manage user accounts through its identity provider. What GitHub feature fits?,Enterprise Managed Users,GitHub Pages,Saved replies,Public forks,A,EMUs support enterprise-managed identities.
"Understand privacy, security, and administration",Security and access management,A team grants access through teams rather than individuals. What is the benefit?,Automatic public visibility,Easier scalable permission management,No need for authentication,Guaranteed more stars,B,Teams simplify permission assignment.
"Understand privacy, security, and administration",Security and access management,A protected branch requires CI success before merge. What is being enforced?,Profile followers,Repository topics,Required status checks,Gist comments,C,Required checks can block merging until workflows pass.
Explore the GitHub community,Open-source engagement,A maintainer wants new contributors to find simple beginner issues. Which label helps?,owner-only,do-not-open,secret-required,good first issue,D,good first issue identifies approachable work.
Explore the GitHub community,Open-source engagement,A contributor wants to propose a fix without write permission. What should they commonly do?,"Fork, branch, commit, and open a pull request",Create a GitHub Pages site only,Edit main directly,Ask for all organization permissions,A,Fork-based contribution supports external collaboration.
Explore the GitHub community,Open-source engagement,A project has no license. What is the risk?,The repo cannot have commits,Users may not know what rights they have to use or share the code,The repo cannot have branches,GitHub Desktop will not open it,B,Licenses clarify permissions.
Explore the GitHub community,Open-source engagement,A public project wants sponsor funding. What GitHub feature supports this?,Branch protection,CODEOWNERS,GitHub Sponsors,Required status checks,C,GitHub Sponsors enables financial support.
Explore the GitHub community,Open-source engagement,A company wants to reuse internal components across teams using open collaboration. What practice is this?,Repository archiving,Passkey rotation,Public starring,InnerSource,D,InnerSource applies open-source practices inside organizations.
Explore the GitHub community,Open-source engagement,A team wants people to discover reusable automation. Where might they publish or find it?,GitHub Marketplace,Passkey settings,Private audit notes,Repository billing only,A,Marketplace helps discover tools and Actions.
Explore the GitHub community,Open-source engagement,A repository wants to be easier to discover in search. What helps?,Disabled issues,Topics and a clear description,No license,No README,B,Topics and descriptions improve discoverability.
Explore the GitHub community,Open-source engagement,A fork has fallen behind the original project. What is the original commonly called?,Passkey,Sponsor,Upstream,Downstream only,C,Upstream refers to the original source repository.
