Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,Which action creates a new saved point in Git history?,Star,Commit,Watch,Fork,B,A commit creates a saved record of changes in the repository history.
Understand Git and GitHub basics,Version control fundamentals,Why is a clear commit message important?,It automatically deploys the app,It deletes old branches,It explains what changed and why,It makes the repository public,C,Commit messages help others understand the purpose of changes.
Understand Git and GitHub basics,Version control fundamentals,What does cloning a repository do?,Approves a pull request,Deletes a branch from GitHub,Creates a GitHub organization,Creates a local copy of a remote repository,D,Cloning downloads a repository so you can work with it locally.
Understand Git and GitHub basics,Version control fundamentals,What is the default branch commonly used for?,The main stable line of development,Temporary browser storage,The list of starred repositories,A private billing profile,A,The default branch commonly represents the primary version of the project.
Understand Git and GitHub basics,Version control fundamentals,What does pushing changes mean?,Closing all pull requests,Uploading local commits to a remote repository,Downloading issues to a mobile app,Creating a GitHub Sponsor profile,B,Pushing sends your local commits to a remote such as GitHub.
Understand Git and GitHub basics,Version control fundamentals,What does pulling changes mean?,Approving a code review,Deleting repository insights,Downloading and integrating changes from a remote repository,Creating a new enterprise account,C,Pulling brings remote changes into your local repository.
Understand Git and GitHub basics,Version control fundamentals,What is a remote in Git?,A GitHub profile picture,A Markdown table,A repository license,"A reference to a repository hosted elsewhere, such as on GitHub",D,A remote lets local Git repositories sync with hosted repositories.
Understand Git and GitHub basics,Version control fundamentals,What is the purpose of merging?,Combining changes from one branch into another,Creating a passkey,Removing all commit history,Making a repository private,A,Merging integrates changes between branches.
Understand Git and GitHub basics,Version control fundamentals,What is a merge conflict?,A deleted GitHub Project,A situation where Git needs help deciding how to combine changes,A failed login attempt,A repository sponsorship request,B,Conflicts happen when overlapping changes cannot be combined automatically.
Understand Git and GitHub basics,Working with GitHub,Which feature is commonly used to review proposed changes before merging?,Marketplace listing,Star,Pull request,Follow,C,Pull requests allow review and discussion before changes are merged.
Understand Git and GitHub basics,Working with GitHub,"In GitHub Flow, where should a new feature usually be developed?",Only in notifications,Directly in billing settings,Inside a GitHub Sponsor page,On a separate branch,D,GitHub Flow encourages creating a branch for changes before opening a pull request.
Understand Git and GitHub basics,Working with GitHub,Which statement best describes Markdown?,A lightweight syntax for formatting plain text,A compiled programming language,A GitHub billing plan,A branch protection rule,A,Markdown is used to format text in files and comments.
Understand Git and GitHub basics,Working with GitHub,Which Markdown syntax creates a heading?,@Heading,# Heading,$Heading,!Heading,B,The # symbol creates headings in Markdown.
Understand Git and GitHub basics,Working with GitHub,Why might a beginner use GitHub Desktop?,To enforce enterprise identity policies,To create organization invoices,To perform Git tasks with a visual interface,To host a production database,C,GitHub Desktop simplifies common Git workflows through a GUI.
