Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,"A release branch contains approved fixes, but main has moved ahead with unfinished work. What should the team use to preserve the release line?",Move all issues to Discussions,Delete main and recreate it,Keep the release work on its own branch,Store the release in a Gist,C,Separate branches can preserve different lines of development.
Understand Git and GitHub basics,Version control fundamentals,A developer wants to understand why a change was made months ago. Which Git data is most useful?,The current GitHub theme,The user’s profile README,The repository star count,The commit message and commit history,D,Commit history and messages explain what changed and often why.
Understand Git and GitHub basics,Version control fundamentals,A merge conflict appears during a pull request. What should happen next?,Resolve the conflicting file changes and commit the resolution,Ignore the conflict and merge anyway,Create a GitHub Sponsor tier,Convert the repository to public,A,Conflicts must be resolved before the merge can complete safely.
Understand Git and GitHub basics,Version control fundamentals,Why might a team prefer pull requests instead of direct commits to main?,They automatically create passkeys,"They allow review, discussion, and checks before changes enter main",They make all repositories private,They eliminate the need for version control,B,Pull requests add a controlled review and validation step.
Understand Git and GitHub basics,Working with GitHub,A teammate says GitHub is the same as Git. What is the best correction?,Git is a Markdown editor,Git works only inside GitHub Enterprise,Git is version control; GitHub is a platform for Git hosting and collaboration,GitHub is only a mobile app,C,Git and GitHub are related but not identical.
Understand Git and GitHub basics,Working with GitHub,A team wants contributors to use consistent issue formatting. Which GitHub feature helps?,Passkeys,Profile followers,Repository stars,Issue templates,D,Issue templates guide users to provide consistent information.
Understand Git and GitHub basics,Working with GitHub,A product owner wants to review PR comments on a phone while commuting. Which tool fits?,GitHub Mobile,GitHub Marketplace only,GitHub Enterprise Managed Users,A local Git remote,A,GitHub Mobile supports reviewing notifications and collaboration activity.
Understand Git and GitHub basics,Working with GitHub,"A quick documentation update needs no terminal, no build, and no full dev environment. Which editor is best?",Codespaces with a large machine,github.dev,Enterprise audit log,A GitHub Actions runner,B,github.dev is a lightweight browser editor for quick changes.
Work with GitHub repositories,Repository management,A repository has an unclear purpose and few contributors. What improvement is most likely to help?,Remove the license,Disable issues permanently,"Add a clear README with setup, purpose, and contribution guidance",Delete all topics,C,A clear README helps users understand and contribute.
Work with GitHub repositories,Repository management,A project must require security team review for files under /auth. What should be added?,A repository topic named auth,A saved reply,A GitHub Pages website,A CODEOWNERS entry for /auth,D,CODEOWNERS can request reviews based on changed paths.
Work with GitHub repositories,Repository management,A maintainer wants to reuse the same starter repository layout across many client projects. What should be used?,A template repository,A passkey,A milestone,A public Gist,A,Template repositories standardize project creation.
Work with GitHub repositories,Repository management,A project receives dependency risk alerts. What should the team do first?,Delete the README,Review the affected dependency and update or remediate appropriately,Ignore alerts because dependencies are external,Make the repository public,B,Dependency alerts should be reviewed and remediated based on impact.
Work with GitHub repositories,Repository management,A repository is active but has many obsolete merged branches. What is the best maintenance step?,Archive the whole repository immediately,Disable pull requests,Delete stale branches after confirming they are no longer needed,Remove all commit history,C,Removing stale branches reduces clutter while preserving Git history.
Work with GitHub repositories,Repository management,A user wants to know the legal permission for copying code from a repository. Where should they look?,Repository stars,CODEOWNERS file,Notification settings,LICENSE file,D,The LICENSE file defines legal use terms.
Work with GitHub repositories,Repository management,A team wants to know whether a repo is gaining external interest. Which signal may help?,"Stars, forks, traffic, and insights",Local CPU usage,Passkey creation date,Owner profile color,A,Repository metrics can help assess interest and activity.
Work with GitHub repositories,Repository management,A security policy says vulnerabilities should not be reported publicly in issues. Which file should explain the correct process?,GitHub Pages theme,SECURITY.md,README badge,CODEOWNERS only,B,SECURITY.md describes responsible vulnerability reporting.
Collaborate using GitHub,Collaboration tools,A bug is tracked in an issue and the fix is in a PR. Why link them?,To bypass branch protection,To make the issue private,"To connect the discussion, code change, and closure workflow",To increase repository stars,C,Linking issues and PRs improves traceability.
Collaborate using GitHub,Collaboration tools,A reviewer requests changes on a pull request. What does that mean?,The issue must be deleted,The repository must be archived,The user must create a new organization,The PR should be updated before it is approved or merged,D,Requested changes indicate the author should address feedback.
Collaborate using GitHub,Collaboration tools,A maintainer wants to separate bug reports from feature requests in the issue list. What should be used?,Labels,Passkeys,Profile followers,Stars,A,Labels classify issues by type or priority.
